best_epoch,dataset,elapsed_sec,meta_dataset_type,meta_edge_homophily,meta_make_undirected,meta_num_edges,meta_num_nodes,meta_source,meta_split_id,model,seed,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
180,amazon-ratings,113.78330969810486,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,harp,2,0.4505961239337921,1.3304694890975952,0.5949698090553284,0.9888184070587158,0.454189121723175,1.323026418685913
206,amazon-ratings,120.74852514266968,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,3,harp,3,0.4612118303775787,1.366068959236145,0.648783266544342,0.8592380881309509,0.4569655358791351,1.3816479444503784
232,amazon-ratings,118.69089102745056,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,4,harp,4,0.4669279754161834,1.4019384384155271,0.7079862952232361,0.766217827796936,0.4817899763584137,1.386624813079834
228,amazon-ratings,248.3047721385956,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,5,harp,5,0.455332338809967,1.3598781824111938,0.6648701429367065,0.8587369322776794,0.4636616110801697,1.3585175275802612
238,amazon-ratings,228.06517267227173,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,6,harp,6,0.4582720994949341,1.3751901388168335,0.6608688831329346,0.847477912902832,0.4656214416027069,1.3809024095535278
214,amazon-ratings,210.83095622062683,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,7,harp,7,0.4532092213630676,1.3879936933517456,0.6702596545219421,0.8278189301490784,0.4574554860591888,1.3908621072769165
221,amazon-ratings,263.4677014350891,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,8,harp,8,0.4465131461620331,1.396443247795105,0.6616038084030151,0.8547459244728088,0.4496161937713623,1.415722370147705
220,amazon-ratings,197.4075312614441,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,9,harp,9,0.4556590020656585,1.371418833732605,0.6550710201263428,0.8738733530044556,0.4538624882698059,1.371067762374878
236,amazon-ratings,79.42343473434448,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,0,harp_esep,0,0.4581087827682495,1.2658510208129885,0.5259676575660706,1.1659841537475586,0.461865097284317,1.2773253917694092
225,amazon-ratings,78.05797386169434,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,1,harp_esep,1,0.4605585634708404,1.2659757137298584,0.5378082394599915,1.1585161685943604,0.4687244892120361,1.2670323848724363
223,amazon-ratings,77.29542398452759,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,harp_esep,2,0.4615384638309479,1.2789427042007446,0.5248244404792786,1.1726813316345217,0.4643148779869079,1.2652508020401
215,amazon-ratings,75.85978031158447,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,3,harp_esep,3,0.4494528770446777,1.280530333518982,0.5227829217910767,1.180001974105835,0.4561489522457123,1.2784159183502195
208,amazon-ratings,119.76855111122131,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,4,harp_esep,4,0.4546790719032287,1.2704302072525024,0.5348685383796692,1.1692554950714111,0.4726441204547882,1.2647794485092163
243,amazon-ratings,163.07194352149963,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,5,harp_esep,5,0.4654580950736999,1.270194172859192,0.5285807847976685,1.169392466545105,0.4656214416027069,1.2714669704437256
241,amazon-ratings,172.1847207546234,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,6,harp_esep,6,0.4581087827682495,1.2708808183670044,0.5249060988426208,1.1660733222961426,0.4656214416027069,1.265728235244751
220,amazon-ratings,148.9396615028381,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,7,harp_esep,7,0.4631716609001159,1.261995792388916,0.5370733141899109,1.146627426147461,0.4561489522457123,1.2694817781448364
203,amazon-ratings,129.84799432754517,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,8,harp_esep,8,0.4639882445335388,1.2738269567489624,0.5336436629295349,1.1561883687973022,0.457782119512558,1.2744492292404177
177,amazon-ratings,117.3601861000061,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,9,harp_esep,9,0.4585987329483032,1.2741093635559082,0.5358484387397766,1.160368800163269,0.4649681448936462,1.2679256200790403
230,amazon-ratings,207.59130191802976,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,0,harp_select,0,0.4536991715431213,1.35321307182312,0.6801404356956482,0.8231441974639893,0.455332338809967,1.368999481201172
